
aftskirt.OUT (severely abridged) Prebuckled state

 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  1
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  4
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
     1  -4.002079E+02   1.029037E+01   1.425588E+03  -3.665556E+01
     2  -4.002897E+02   1.008114E+01   1.425879E+03  -3.591021E+01
     3  -4.005087E+02   9.349508E+00   1.426660E+03  -3.330404E+01
     4  -4.008018E+02   7.982810E+00   1.427703E+03  -2.843576E+01
     5  -4.010978E+02   6.148375E+00   1.428758E+03  -2.190127E+01
     6  -4.013927E+02   3.856635E+00   1.429808E+03  -1.373779E+01
     7  -4.016862E+02   1.099623E+00   1.430854E+03  -3.916987E+00
     8  -4.019780E+02  -2.132332E+00   1.431893E+03   7.595642E+00
     9  -4.022677E+02  -5.849715E+00   1.432925E+03   2.083740E+01
    10  -4.025549E+02  -1.006264E+01   1.433948E+03   3.584427E+01
    11  -4.028358E+02  -1.471832E+01   1.434949E+03   5.242837E+01
    12  -4.030438E+02  -1.852028E+01   1.435690E+03   6.597150E+01
    13  -4.031209E+02  -2.001028E+01   1.435964E+03   7.127894E+01

 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  5
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
     1  -4.031209E+02  -6.074603E+01   1.435964E+03   2.163846E+02
     2  -4.031880E+02  -6.270902E+01   1.436203E+03   2.233770E+02
     3  -4.033660E+02  -6.789879E+01   1.436838E+03   2.418635E+02
     4  -4.036011E+02  -7.468648E+01   1.437675E+03   2.660421E+02
     5  -4.038347E+02  -8.137258E+01   1.438507E+03   2.898588E+02
     6  -4.040638E+02  -8.786755E+01   1.439323E+03   3.129946E+02
     7  -4.042887E+02  -9.416248E+01   1.440124E+03   3.354180E+02
     8  -4.045095E+02  -1.002402E+02   1.440911E+03   3.570675E+02
     9  -4.047263E+02  -1.060729E+02   1.441683E+03   3.778444E+02
    10  -4.049393E+02  -1.116200E+02   1.442442E+03   3.976036E+02
    11  -4.051462E+02  -1.167616E+02   1.443179E+03   4.159187E+02
    12  -4.052989E+02  -1.203432E+02   1.443723E+03   4.286766E+02
    13  -4.053553E+02  -1.216066E+02   1.443924E+03   4.331772E+02
====================================================================
